Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"00259E-EG8145V5-48575443A94196A5",xsd:string,2023-03-28T15:42:30.057Z,,,,
DeviceID.Manufacturer,false,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"Huawei Technologies Co., Ltd",xsd:string,2023-03-28T15:42:30.057Z,,,,
DeviceID.OUI,false,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"00259E",xsd:string,2023-03-28T15:42:30.057Z,,,,
DeviceID.ProductClass,false,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"EG8145V5",xsd:string,2023-03-28T15:42:30.057Z,,,,
DeviceID.SerialNumber,false,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"48575443A94196A5",xsd:string,2023-03-28T15:42:30.057Z,,,,
Events.0_BOOTSTRAP,false,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"2023-03-27T19:32:49.978Z",xsd:dateTime,2023-03-28T15:42:30.057Z,,,,
Events.Inform,false,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"2023-03-28T15:42:30.057Z",xsd:dateTime,2023-03-28T15:42:30.057Z,,,,
Events.Registered,false,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"2023-03-27T19:32:49.978Z",xsd:dateTime,2023-03-28T15:42:30.057Z,,,,
InternetGatewayDevice,true,2023-03-28T15:42:30.057Z,false,2023-03-28T15:42:30.057Z,"",,,,,,
InternetGatewayDevice.BulkData,true,2023-03-28T15:42:30.057Z,true,2023-03-28T15:42:30.057Z,"",,,,,,
