Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"00E04C-W5%2D2100G-D8365F659C6E",xsd:string,2023-05-26T00:47:16.024Z,,,,
DeviceID.Manufacturer,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"INTELBRAS",xsd:string,2023-05-26T00:47:16.024Z,,,,
DeviceID.OUI,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"00E04C",xsd:string,2023-05-26T00:47:16.024Z,,,,
DeviceID.ProductClass,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"W5-2100G",xsd:string,2023-05-26T00:47:16.024Z,,,,
DeviceID.SerialNumber,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"D8365F659C6E",xsd:string,2023-05-26T00:47:16.024Z,,,,
Events.0_BOOTSTRAP,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"2023-05-26T00:34:34.413Z",xsd:dateTime,2023-05-26T00:47:16.024Z,,,,
Events.1_BOOT,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"2023-05-26T00:34:34.413Z",xsd:dateTime,2023-05-26T00:47:16.024Z,,,,
Events.Inform,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"2023-05-26T00:47:16.024Z",xsd:dateTime,2023-05-26T00:47:16.024Z,,,,
Events.Registered,false,2023-05-26T00:47:16.024Z,false,2023-05-26T00:47:16.024Z,"2023-04-03T13:26:10.614Z",xsd:dateTime,2023-05-26T00:47:16.024Z,,,,
InternetGatewayDevice,true,2023-04-03T18:00:06.339Z,false,2023-04-03T18:00:06.339Z,"",,,,,,
InternetGatewayDevice.Capabilities,true,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",,,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic,true,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",,,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic.DownloadTransports,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"HTTP",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic.UploadTransports,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"HTTP",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceConfig,true,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",,,,,,
InternetGatewayDevice.DeviceConfig.ConfigFile,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"0",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceConfig.PersistentData,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo,true,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"AdditionalHardwareVersion",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"AdditionalSoftwareVersion",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.Description,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"Description",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.DeviceLog,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.EnabledOptions,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.FirstUseDate,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0001-01-01T00:00:00.000Z",xsd:dateTime,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.HardwareVersion,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"81xx",xsd:string,2023-05-26T00:47:16.025Z,,,,
InternetGatewayDevice.DeviceInfo.Manufacturer,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"INTELBRAS",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.ManufacturerOUI,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"00E04C",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.ModelName,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"ModelName",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.ProductClass,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"W5-2100G",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.ProvisioningCode,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"",xsd:string,2023-05-26T00:47:16.025Z,,,,
InternetGatewayDevice.DeviceInfo.SerialNumber,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"D8365F659C6E",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"1.23.7",xsd:string,2023-05-26T00:47:16.025Z,,,,
InternetGatewayDevice.DeviceInfo.SpecVersion,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"1.0",xsd:string,2023-05-26T00:47:16.025Z,,,,
InternetGatewayDevice.DeviceInfo.UpTime,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"951",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile,true,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1,true,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1.Date,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0001-01-01T00:00:00.000Z",xsd:dateTime,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1.Description,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1.Name,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"config.dat",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile.1.Version,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"v3.4.14",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFileNumberOfEntries,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"1",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DeviceSummary,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"InternetGatewayDevice:1.1[](Baseline:1,EthernetWAN:1,EthernetLAN:1,WiFiLAN:1,Time:1,IPPing:1,Download:1,DownloadTCP:1,Upload:1,UploadTCP:1,UDPEcho:1,UDPEchoPlus:1,DeviceAssociation:1,DHCPCondServing:1,DHCPOption:1)",xsd:string,2023-05-26T00:47:16.025Z,,,,
InternetGatewayDevice.DownloadDiagnostics,true,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"",,,,,,
InternetGatewayDevice.DownloadDiagnostics.BOMTime,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0001-01-01T03:06:28.000Z",xsd:dateTime,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DSCP,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"0",xsd:unsignedInt,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DiagnosticsState,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"None",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.DownloadURL,false,2023-05-26T00:44:29.195Z,true,2023-05-26T00:44:29.195Z,"",xsd:string,2023-05-26T00:44:29.197Z,,,,
InternetGatewayDevice.DownloadDiagnostics.EOMTime,false,2023-05-26T00:44:29.195Z,false,2023-05-26T00:44:29.195Z,"0001-01-01T03:06:28.000Z",xsd:dateTime,2023-05-26T00:44:29.197Z,,,,
