Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
Device,true,2023-04-26T18:44:47.395Z,false,2023-04-26T18:44:47.395Z,"",,,,,,
Device.Bridging,true,2023-04-26T18:51:36.573Z,false,2023-04-26T18:51:36.573Z,"",,,,,,
Device.Bridging.Bridge,true,2023-04-26T18:51:36.573Z,true,2023-04-26T18:51:36.573Z,"",,,,,,
Device.Bridging.Bridge.1,true,2023-04-26T18:51:36.573Z,true,2023-04-26T18:51:36.573Z,"",,,,,,
Device.Bridging.Bridge.1.Alias,false,2023-04-26T18:51:36.573Z,true,2023-04-26T18:51:36.573Z,"cpe-bridge",xsd:string,2023-04-26T18:51:36.577Z,,,,
Device.Bridging.Bridge.1.Enable,false,2023-04-26T18:51:36.573Z,true,2023-04-26T18:51:36.573Z,"true",xsd:boolean,2023-04-26T18:51:36.577Z,,,,
Device.Bridging.Bridge.1.Port,true,2023-04-26T18:51:36.573Z,true,2023-04-26T18:51:36.573Z,"",,,,,,
Device.Bridging.Bridge.1.Port.1,true,2023-04-26T18:51:36.573Z,true,2023-04-26T18:51:36.573Z,"",,,,,,
Device.Bridging.Bridge.1.Port.1.Alias,false,2023-04-26T18:51:36.573Z,true,2023-04-26T18:51:36.573Z,"cpe-bridgeport",xsd:string,2023-04-26T18:51:36.577Z,,,,
Device.Bridging.Bridge.1.Port.1.Enable,false,2023-04-26T18:51:36.573Z,true,2023-04-26T18:51:36.573Z,"true",xsd:boolean,2023-04-26T18:51:36.577Z,,,,
Device.Bridging.Bridge.1.Port.1.LastChange,false,2023-04-26T18:51:36.573Z,false,2023-04-26T18:51:36.573Z,"0",xsd:unsignedInt,2023-04-26T18:51:36.577Z,,,,
Device.Bridging.Bridge.1.Port.1.LowerLayers,false,2023-04-26T18:51:36.573Z,true,2023-04-26T18:51:36.573Z,"Device.Bridging.Bridge.1.Port.2.,Device.Bridging.Bridge.1.Port.3.,Device.Bridging.Bridge.1.Port.4.,Device.Bridging.Bridge.1.Port.5.,Device.Bridging.Bridge.1.Port.6.,Device.Bridging.Bridge.1.Port.7.,Device.Bridging.Bridge.1.Port.8.,Device.Bridging.Bridge.1.Port.9.,Device.Bridging.Bridge.1.Port.10.,Device.Bridging.Bridge.1.Port.11.,Device.Bridging.Bridge.1.Port.12.,Device.Bridging.Bridge.1.Port.13.,Device.Bridging.Bridge.1.Port.14.",xsd:string,2023-04-26T18:51:36.577Z,,,,
Device.Bridging.Bridge.1.Port.1.ManagementPort,false,2023-04-26T18:51:36.573Z,true,2023-04-26T18:51:36.573Z,"true",xsd:boolean,2023-04-26T18:51:36.577Z,,,,
Device.Bridging.Bridge.1.Port.1.Name,false,2023-04-26T18:51:36.573Z,false,2023-04-26T18:51:36.573Z,"br0",xsd:string,2023-04-26T18:51:36.577Z,,,,
Device.Bridging.Bridge.1.Port.1.Status,false,2023-04-26T18:51:36.573Z,false,2023-04-26T18:51:36.573Z,"Up",xsd:string,2023-04-26T18:51:36.577Z,,,,
Device.Bridging.Bridge.1.Port.10,true,2023-04-26T18:51:36.573Z,true,2023-04-26T18:51:36.573Z,"",,,,,,
Device.Bridging.Bridge.1.Port.10.Alias,false,2023-04-26T18:51:36.573Z,true,2023-04-26T18:51:36.573Z,"cpe-bridgeport",xsd:string,2023-04-26T18:51:36.577Z,,,,
Device.Bridging.Bridge.1.Port.10.Enable,false,2023-04-26T18:51:36.573Z,true,2023-04-26T18:51:36.573Z,"true",xsd:boolean,2023-04-26T18:51:36.577Z,,,,
Device.Bridging.Bridge.1.Port.10.LastChange,false,2023-04-26T18:51:36.573Z,false,2023-04-26T18:51:36.573Z,"0",xsd:unsignedInt,2023-04-26T18:51:36.577Z,,,,
