Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2023-03-28T16:08:16.237Z,false,2023-03-28T16:08:16.237Z,"9075BC-G%2D1425G%2DA-ALCLFC265D6F",xsd:string,2023-03-28T16:08:16.237Z,,,,
DeviceID.Manufacturer,false,2023-03-28T16:08:16.237Z,false,2023-03-28T16:08:16.237Z,"ALCL",xsd:string,2023-03-28T16:08:16.237Z,,,,
DeviceID.OUI,false,2023-03-28T16:08:16.237Z,false,2023-03-28T16:08:16.237Z,"9075BC",xsd:string,2023-03-28T16:08:16.237Z,,,,
DeviceID.ProductClass,false,2023-03-28T16:08:16.237Z,false,2023-03-28T16:08:16.237Z,"G-1425G-A",xsd:string,2023-03-28T16:08:16.237Z,,,,
DeviceID.SerialNumber,false,2023-03-28T16:08:16.237Z,false,2023-03-28T16:08:16.237Z,"ALCLFC265D6F",xsd:string,2023-03-28T16:08:16.237Z,,,,
Events.1_BOOT,false,2023-03-28T16:08:16.237Z,false,2023-03-28T16:08:16.237Z,"2023-03-28T15:30:49.495Z",xsd:dateTime,2023-03-28T16:08:16.237Z,,,,
Events.Inform,false,2023-03-28T16:08:16.237Z,false,2023-03-28T16:08:16.237Z,"2023-03-28T16:08:16.237Z",xsd:dateTime,2023-03-28T16:08:16.237Z,,,,
Events.Registered,false,2023-03-28T16:08:16.237Z,false,2023-03-28T16:08:16.237Z,"2023-03-28T15:30:49.495Z",xsd:dateTime,2023-03-28T16:08:16.237Z,,,,
InternetGatewayDevice,true,2023-03-28T16:07:16.926Z,false,2023-03-28T16:07:16.926Z,"",,,,,,
InternetGatewayDevice.BulkData,true,2023-03-28T16:07:16.926Z,false,2023-03-28T16:07:16.926Z,"",,,,,,
InternetGatewayDevice.BulkData.Profile,true,2023-03-28T16:07:16.926Z,true,2023-03-28T16:07:16.926Z,"",,,,,,
