Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2023-05-25T22:11:26.169Z,false,2023-05-25T22:11:26.169Z,"9CA2F4-IGD-22282X5007025",xsd:string,2023-05-25T22:11:26.169Z,,,,
DeviceID.Manufacturer,false,2023-05-25T22:11:26.169Z,false,2023-05-25T22:11:26.169Z,"TP-Link",xsd:string,2023-05-25T22:11:26.169Z,,,,
DeviceID.OUI,false,2023-05-25T22:11:26.169Z,false,2023-05-25T22:11:26.169Z,"9CA2F4",xsd:string,2023-05-25T22:11:26.169Z,,,,
DeviceID.ProductClass,false,2023-05-25T22:11:26.169Z,false,2023-05-25T22:11:26.169Z,"IGD",xsd:string,2023-05-25T22:11:26.169Z,,,,
DeviceID.SerialNumber,false,2023-05-25T22:11:26.169Z,false,2023-05-25T22:11:26.169Z,"22282X5007025",xsd:string,2023-05-25T22:11:26.169Z,,,,
Events.0_BOOTSTRAP,false,2023-05-25T22:11:26.169Z,false,2023-05-25T22:11:26.169Z,"2023-05-25T21:53:50.810Z",xsd:dateTime,2023-05-25T22:11:26.169Z,,,,
Events.1_BOOT,false,2023-05-25T22:11:26.169Z,false,2023-05-25T22:11:26.169Z,"2023-05-25T22:07:43.842Z",xsd:dateTime,2023-05-25T22:11:26.169Z,,,,
Events.Inform,false,2023-05-25T22:11:26.169Z,false,2023-05-25T22:11:26.169Z,"2023-05-25T22:11:26.169Z",xsd:dateTime,2023-05-25T22:11:26.169Z,,,,
Events.Registered,false,2023-05-25T22:11:26.169Z,false,2023-05-25T22:11:26.169Z,"2023-05-25T21:53:50.810Z",xsd:dateTime,2023-05-25T22:11:26.169Z,,,,
InternetGatewayDevice,true,2023-05-25T21:59:27.905Z,false,2023-05-25T21:59:27.905Z,"",,,,,,
InternetGatewayDevice.Capabilities,true,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic,true,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic.DownloadTransports,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"HTTP,FTP",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic.UploadTransports,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"HTTP,FTP",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.DeviceInfo,true,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"00000003",xsd:string,2023-05-25T22:10:55.895Z,,,,
