Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
Device,true,2023-05-25T22:24:29.364Z,false,2023-05-25T22:24:29.364Z,"",,,,,,
Device.Bridging,true,2023-05-25T22:24:29.364Z,false,2023-05-25T22:24:29.364Z,"",,,,,,
Device.Bridging.Bridge,true,2023-05-25T22:24:29.364Z,false,2023-05-25T22:24:29.364Z,"",,,,,,
Device.Bridging.Bridge.1,true,2023-05-25T22:24:29.364Z,false,2023-05-25T22:24:29.364Z,"",,,,,,
Device.Bridging.Bridge.1.Port,true,2023-05-25T22:24:29.364Z,false,2023-05-25T22:24:29.364Z,"",,,,,,
Device.Bridging.Bridge.1.Port.1,true,2023-05-25T22:24:29.364Z,false,2023-05-25T22:24:29.364Z,"",,,,,,
Device.Bridging.Bridge.1.Port.1.LowerLayers,false,2023-05-25T22:24:29.364Z,true,2023-05-25T22:24:29.364Z,"Device.Bridging.Bridge.1.Port.2,Device.Bridging.Bridge.1.Port.3,Device.Bridging.Bridge.1.Port.4,Device.Bridging.Bridge.1.Port.5",xsd:string,2023-05-25T22:24:29.368Z,,,,
Device.Bridging.Bridge.1.Port.1.ManagementPort,false,2023-05-25T22:24:29.364Z,true,2023-05-25T22:24:29.364Z,"true",xsd:boolean,2023-05-25T22:24:29.368Z,,,,
Device.Bridging.Bridge.1.Port.2,true,2023-05-25T22:24:29.364Z,false,2023-05-25T22:24:29.364Z,"",,,,,,
Device.Bridging.Bridge.1.Port.2.LowerLayers,false,2023-05-25T22:24:29.364Z,true,2023-05-25T22:24:29.364Z,"Device.WiFi.SSID.1",xsd:string,2023-05-25T22:24:29.368Z,,,,
Device.Bridging.Bridge.1.Port.2.ManagementPort,false,2023-05-25T22:24:29.364Z,true,2023-05-25T22:24:29.364Z,"false",xsd:boolean,2023-05-25T22:24:29.368Z,,,,
Device.Bridging.Bridge.1.Port.3,true,2023-05-25T22:24:29.364Z,false,2023-05-25T22:24:29.364Z,"",,,,,,
Device.Bridging.Bridge.1.Port.3.LowerLayers,false,2023-05-25T22:24:29.364Z,true,2023-05-25T22:24:29.364Z,"Device.WiFi.SSID.2",xsd:string,2023-05-25T22:24:29.368Z,,,,
Device.Bridging.Bridge.1.Port.3.ManagementPort,false,2023-05-25T22:24:29.364Z,true,2023-05-25T22:24:29.364Z,"false",xsd:boolean,2023-05-25T22:24:29.368Z,,,,
Device.Bridging.Bridge.1.Port.4,true,2023-05-25T22:24:29.364Z,false,2023-05-25T22:24:29.364Z,"",,,,,,
Device.Bridging.Bridge.1.Port.4.LowerLayers,false,2023-05-25T22:24:29.364Z,true,2023-05-25T22:24:29.364Z,"Device.WiFi.SSID.3",xsd:string,2023-05-25T22:24:29.368Z,,,,
