Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"C0B102-ZXHNH199Z-ZTEYH86LCN20202",xsd:string,2023-03-28T15:39:56.053Z,,,,
DeviceID.Manufacturer,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"ZTE",xsd:string,2023-03-28T15:39:56.053Z,,,,
DeviceID.OUI,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"C0B102",xsd:string,2023-03-28T15:39:56.053Z,,,,
DeviceID.ProductClass,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"ZXHNH199Z",xsd:string,2023-03-28T15:39:56.053Z,,,,
DeviceID.SerialNumber,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"ZTEYH86LCN20202",xsd:string,2023-03-28T15:39:56.053Z,,,,
Events.0_BOOTSTRAP,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"2023-03-27T19:35:06.114Z",xsd:dateTime,2023-03-28T15:39:56.053Z,,,,
Events.1_BOOT,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"2023-03-28T14:59:21.718Z",xsd:dateTime,2023-03-28T15:39:56.053Z,,,,
Events.Inform,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"2023-03-28T15:39:56.053Z",xsd:dateTime,2023-03-28T15:39:56.053Z,,,,
Events.Registered,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"2023-03-27T19:35:06.114Z",xsd:dateTime,2023-03-28T15:39:56.053Z,,,,
InternetGatewayDevice,true,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"",,,,,,
InternetGatewayDevice.Capabilities,true,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"",,,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic,true,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"",,,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic.DownloadTransports,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"HTTP,FTP",xsd:string,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic.UploadTransports,false,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"HTTP,FTP",xsd:string,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DNS,true,2023-03-28T15:39:56.053Z,false,2023-03-28T15:39:56.053Z,"",,,,,,
InternetGatewayDevice.DNS.X_ZTE-COM_DomainName,false,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"",xsd:string,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DNS.X_ZTE-COM_HostName,true,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"",,,,,,
InternetGatewayDevice.DNS.X_ZTE-COM_IPv4DNSServer1,false,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"0.0.0.0",xsd:string,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DNS.X_ZTE-COM_IPv4DNSServer2,false,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"0.0.0.0",xsd:string,2023-03-28T15:39:56.057Z,,,,
InternetGatewayDevice.DeviceInfo,true,2023-03-28T15:39:56.053Z,true,2023-03-28T15:39:56.053Z,"",,,,,,
