Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2023-10-06T21:49:27.199Z,false,2023-10-06T21:49:27.199Z,"00259E-EG8145X6-48575443A97D7DAA",xsd:string,2023-10-06T21:49:27.199Z,,,,
DeviceID.Manufacturer,false,2023-10-06T21:49:27.199Z,false,2023-10-06T21:49:27.199Z,"Huawei Technologies Co., Ltd",xsd:string,2023-10-06T21:49:27.199Z,,,,
DeviceID.OUI,false,2023-10-06T21:49:27.199Z,false,2023-10-06T21:49:27.199Z,"00259E",xsd:string,2023-10-06T21:49:27.199Z,,,,
DeviceID.ProductClass,false,2023-10-06T21:49:27.199Z,false,2023-10-06T21:49:27.199Z,"EG8145X6",xsd:string,2023-10-06T21:49:27.199Z,,,,
DeviceID.SerialNumber,false,2023-10-06T21:49:27.199Z,false,2023-10-06T21:49:27.199Z,"48575443A97D7DAA",xsd:string,2023-10-06T21:49:27.199Z,,,,
Events.0_BOOTSTRAP,false,2023-10-06T21:49:27.199Z,false,2023-10-06T21:49:27.199Z,"2023-10-06T17:54:08.259Z",xsd:dateTime,2023-10-06T21:49:27.199Z,,,,
Events.Inform,false,2023-10-06T21:49:27.199Z,false,2023-10-06T21:49:27.199Z,"2023-10-06T21:49:27.199Z",xsd:dateTime,2023-10-06T21:49:27.199Z,,,,
Events.Registered,false,2023-10-06T21:49:27.199Z,false,2023-10-06T21:49:27.199Z,"2023-10-06T17:54:08.259Z",xsd:dateTime,2023-10-06T21:49:27.199Z,,,,
InternetGatewayDevice,true,2023-10-06T18:07:06.109Z,false,2023-10-06T18:07:06.109Z,"",,,,,,
InternetGatewayDevice.BulkData,true,2023-10-06T18:17:24.528Z,true,2023-10-06T18:17:24.528Z,"",,,,,,
InternetGatewayDevice.BulkData.Enable,false,2023-10-06T18:17:24.528Z,true,2023-10-06T18:17:24.528Z,"false",xsd:boolean,2023-10-06T18:07:06.113Z,,,,
InternetGatewayDevice.BulkData.EncodingTypes,false,2023-10-06T18:17:24.528Z,false,2023-10-06T18:17:24.528Z,"JSON",xsd:string,2023-10-06T18:07:06.113Z,,,,
InternetGatewayDevice.BulkData.MaxNumberOfParameterReferences,false,2023-10-06T18:17:24.528Z,false,2023-10-06T18:17:24.528Z,"1024",xsd:int,2023-10-06T18:07:06.113Z,,,,
InternetGatewayDevice.BulkData.MaxNumberOfProfiles,false,2023-10-06T18:17:24.528Z,false,2023-10-06T18:17:24.528Z,"64",xsd:int,2023-10-06T18:07:06.113Z,,,,
InternetGatewayDevice.BulkData.MinReportingInterval,false,2023-10-06T18:17:24.528Z,false,2023-10-06T18:17:24.528Z,"900",xsd:unsignedInt,2023-10-06T18:07:06.113Z,,,,
InternetGatewayDevice.BulkData.ParameterWildCardSupported,false,2023-10-06T18:17:24.528Z,false,2023-10-06T18:17:24.528Z,"true",xsd:boolean,2023-10-06T18:07:06.113Z,,,,
InternetGatewayDevice.BulkData.Profile,true,2023-10-06T18:17:24.528Z,true,2023-10-06T18:17:24.528Z,"",,,,,,
