Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"00259E-EG8145X6-48575443A97D7DAA",xsd:string,2023-12-28T15:43:06.672Z,,,,
DeviceID.Manufacturer,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"Huawei Technologies Co., Ltd",xsd:string,2023-12-28T15:43:06.672Z,,,,
DeviceID.OUI,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"00259E",xsd:string,2023-12-28T15:43:06.672Z,,,,
DeviceID.ProductClass,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"EG8145X6",xsd:string,2023-12-28T15:43:06.672Z,,,,
DeviceID.SerialNumber,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"48575443A97D7DAA",xsd:string,2023-12-28T15:43:06.672Z,,,,
Events.Inform,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"2023-12-28T15:43:06.672Z",xsd:dateTime,2023-12-28T15:43:06.672Z,,,,
Events.Registered,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"2023-12-28T15:43:06.672Z",xsd:dateTime,2023-12-28T15:43:06.672Z,,,,
InternetGatewayDevice,true,1970-01-01T00:00:00.001Z,,,"",,,,,,
InternetGatewayDevice.BulkData,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.Capabilities,true,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DHCPv4,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DHCPv6,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DNS,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceConfig,true,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AccessType,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.Description,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.DeviceLog,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.DeviceType,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.EfuseInfo,true,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.EnabledOptions,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.FirstUseDate,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.FlashStatus,true,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.HardwareVersion,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"22AD.A",xsd:string,2023-12-28T15:43:06.673Z,,,,
InternetGatewayDevice.DeviceInfo.ManufactureInfo,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.Manufacturer,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ManufacturerOUI,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.MemoryStatus,true,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ModelName,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"EG8145X6",xsd:string,2023-12-28T15:43:06.690Z,,,,
InternetGatewayDevice.DeviceInfo.ModelNumber,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ModemFirmwareVersion,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProcessStatus,true,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.Processor,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProductClass,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProvisioningCode,false,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",xsd:string,2023-12-28T15:43:06.673Z,,,,
InternetGatewayDevice.DeviceInfo.SerialNumber,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"V5R020C10S202",xsd:string,2023-12-28T15:43:06.673Z,,,,
InternetGatewayDevice.DeviceInfo.SpecVersion,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"1.0",xsd:string,2023-12-28T15:43:06.673Z,,,,
InternetGatewayDevice.DeviceInfo.TemperatureStatus,true,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.UpTime,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"144779",xsd:unsignedInt,2023-12-28T15:43:06.704Z,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFile,true,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.VendorConfigFileNumberOfEntries,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.VendorLogFile,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.VendorLogFileNumberOfEntries,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_AutoBackupRestore,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_CfgWord,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_CpuUsed,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_CurTime,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_IPProtocolVersion,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_Loid,false,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_MemUsed,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_OperatorID,false,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_SerialNumber,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_ServiceAccessInfo,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_Syslog,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_SyslogConfig,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_UpPortMode,false,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_HW_UserContractInfo,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DeviceSummary,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"InternetGatewayDevice:1.4[](Baseline:1, EthernetLAN:1, WiFiLAN:2, Time:1, IPPing:1, DeviceAssociation:1), VoiceService:1.0[1](Endpoint:1, SIPEndpoint:1)",xsd:string,2023-12-28T15:43:06.673Z,,,,
InternetGatewayDevice.Diagnostics,true,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.DownloadDiagnostics,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.IPPingDiagnostics,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANConfigSecurity,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.Active,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.AddressSource,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.ClientID,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.HostName,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"Aspire-Anlix-Romeu",xsd:string,2023-12-28T15:43:06.686Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.IPAddress,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"192.168.18.2",xsd:string,2023-12-28T15:43:06.686Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.InterfaceType,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.Layer2Interface,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.LeaseTimeRemaining,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.MACAddress,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"48:51:c5:cc:62:e9",xsd:string,2023-12-28T15:43:06.686Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.UserClassID,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.VendorClassID,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.X_HW_NegotiatedRate,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.X_HW_RSSI,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.X_HW_Stats,true,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.HostNumberOfEntries,false,2023-12-28T15:43:06.672Z,false,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1,true,2023-12-28T15:43:06.672Z,true,2023-12-28T15:43:06.672Z,"",,,,,,
